lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,GDM-P,GDM-Q,GDM-R,GDM-S,G4M-P,G4M-Q,G4M-R,G4M-S,Blank1
[TG(41:1)]_FA16:0,-0.029866185201463,3.317616248425463,0.0075890665728906,0.930579904679494,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.389121624142764e-06,1.4216419082015443e-05,1.1126547369227924e-05,1.125561035427376e-05,4.958173044461228e-06,1.7533556474075376e-05,1.1348483249591221e-05,1.253243733016577e-05,8.025952542642538e-06
[TG(41:1)]_FA16:1,-0.0342481253402895,3.518145494146424,0.0099914753354113,0.9203781716060292,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.795410360335175e-06,1.7693132247262974e-05,1.3610845082289452e-05,1.2361486545137667e-05,5.492123803868688e-06,1.8831409957943125e-05,1.570430390397852e-05,1.3549934662128701e-05,8.511479027714966e-06
[TG(41:1)]_FA18:0,-0.1051666446054007,3.383834879084784,0.0941188111165005,0.7590048243854688,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.019921372865395e-06,1.4987493497680696e-05,1.2017215371940167e-05,1.1600750281077757e-05,5.2473022746202205e-06,1.632705763726724e-05,1.1511795378082314e-05,1.6495720081604733e-05,8.213866759218441e-06
[TG(41:1)]_FA18:1,0.060322293630516,3.4989046049793964,0.0309898572178521,0.8602630183499933,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,6.825145951382226e-06,1.5955374045105855e-05,1.3113422388927962e-05,1.2546195851806356e-05,5.942587053490197e-06,1.771695266050839e-05,1.2742427706699065e-05,1.3504799436488526e-05,8.95838383284053e-06
[TG(41:2)]_FA14:0,0.0373527701619902,3.3223117169928247,0.0118712439814893,0.9132379934540444,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.017181891637281e-06,1.623174059041656e-05,1.1177931854280293e-05,1.1848537110932091e-05,5.0264810141270516e-06,1.637342188586367e-05,1.0966664776602469e-05,1.283925196599892e-05,7.818402928958948e-06
[TG(41:2)]_FA16:0,-0.0549669035863544,3.316739427198589,0.0257042567460601,0.8726246952056045,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,4.993790752572275e-06,1.4214923729856823e-05,1.112725115102977e-05,1.1657401003657198e-05,4.860223923306465e-06,1.7126582210965384e-05,1.0752019688645179e-05,1.4119211615372965e-05,8.102383921622666e-06
[TG(41:2)]_FA16:1,-0.06233670468908,3.4616982839373063,0.0330880912172748,0.855660166414492,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.441698867508107e-06,1.6165639886599652e-05,1.2087370728164921e-05,1.3131743857398883e-05,5.311302554402403e-06,2.173037267659763e-05,1.2432838909628527e-05,1.3547586537619556e-05,8.510667511073442e-06
[TG(41:2)]_FA18:0,0.018076365321396,3.312323031618105,0.0027800599955321,0.9579500043202084,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.332224262651613e-06,1.5259971568304847e-05,1.1150949166106377e-05,1.1278222945902214e-05,4.866070115782745e-06,1.6332552644766303e-05,1.1114531402378177e-05,1.307484170101336e-05,7.794223979583473e-06
[TG(41:2)]_FA18:1,-0.0407763300595875,3.5066658936656525,0.0141624625089267,0.9052704875054096,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.968630949365728e-06,1.6424060323410316e-05,1.3294324609616332e-05,1.2714243392222994e-05,6.363614383114904e-06,1.9138787259261896e-05,1.2768775810180048e-05,1.4078250733780387e-05,8.502878263657219e-06
[TG(41:2)]_FA18:2,-0.0614828379621011,3.545270787069826,0.0322028397538121,0.8575831988741601,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.917634121832792e-06,1.7362629469807388e-05,1.2668322914376658e-05,1.3667543825447661e-05,6.086895349284041e-06,2.1610512850088997e-05,1.2901651262426126e-05,1.4698141272707553e-05,8.856962049746344e-06
