lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,G4M-P_x,G4M-Q_x,G4M-R_x,G4M-S_x,G4M-P_y,G4M-Q_y,G4M-R_y,G4M-S_y,Blank1
[TG(49:6)]_FA18:2,0,3.488042580696109,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.534688103259049e-06,1.86507613407653e-05,1.2230459106732508e-05,1.4007025832961675e-05,5.534688103259049e-06,1.86507613407653e-05,1.2230459106732508e-05,1.4007025832961675e-05,8.863939997181348e-06
[TG(49:6)]_FA18:3,0,3.623734123210141,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.935407570350794e-06,2.1125234369836278e-05,1.322395980371294e-05,1.5186540023897507e-05,5.935407570350794e-06,2.1125234369836278e-05,1.322395980371294e-05,1.5186540023897507e-05,1.0168792149184716e-05
[TG(49:6)]_FA20:4,0,3.706741283676441,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,6.3904862886249675e-06,2.233207671830697e-05,1.408503894440221e-05,1.6273175134417458e-05,6.3904862886249675e-06,2.233207671830697e-05,1.408503894440221e-05,1.6273175134417458e-05,1.0145586840260533e-05
[TG(49:6)]_FA22:5,0,3.8491863935248,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,7.047617024827731e-06,2.466574016383811e-05,1.5598912053254686e-05,1.7892039608627136e-05,7.047617024827731e-06,2.466574016383811e-05,1.5598912053254686e-05,1.7892039608627136e-05,1.12300696503405e-05
[TG(49:6)]_FA22:6,0,3.999578374005087,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,7.855312360157659e-06,2.7682845936756357e-05,1.7253156201118052e-05,1.953881987802959e-05,7.855312360157659e-06,2.7682845936756357e-05,1.7253156201118052e-05,1.953881987802959e-05,1.2567214587221299e-05
"[TG(49:7),TG(48:0)]_FA14:0",0,3.61939624112252,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.3000205150583776e-06,2.1035940858257658e-05,1.3455413208650545e-05,1.6091851722735467e-05,5.3000205150583776e-06,2.1035940858257658e-05,1.3455413208650545e-05,1.6091851722735467e-05,1.0547217132264975e-05
"[TG(49:7),TG(48:0)]_FA16:0",0,5.587681915575956,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,2.664769259913492e-05,8.364062503205697e-05,5.46554753867313e-05,6.28406391373131e-05,2.664769259913492e-05,8.364062503205697e-05,5.46554753867313e-05,6.28406391373131e-05,1.890778046626197e-05
"[TG(49:7),TG(48:0)]_FA16:1",0,3.52048614622961,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.501354604235649e-06,1.8282251999137414e-05,1.3205561572859446e-05,1.3542890388125484e-05,5.501354604235649e-06,1.8282251999137414e-05,1.3205561572859446e-05,1.3542890388125484e-05,1.0309322076509486e-05
"[TG(49:7),TG(48:0)]_FA18:0",0,3.51869561732823,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,6.4458710517014954e-06,1.8446415724829367e-05,1.2483036371053466e-05,1.3222509109256592e-05,6.4458710517014954e-06,1.8446415724829367e-05,1.2483036371053466e-05,1.3222509109256592e-05,8.485028116496762e-06
"[TG(49:7),TG(48:0)]_FA18:1",0,3.5770720410428467,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.968741030248944e-06,1.9991201034492278e-05,1.3295053851620643e-05,1.380222177333353e-05,5.968741030248944e-06,1.9991201034492278e-05,1.3295053851620643e-05,1.380222177333353e-05,9.99450880607249e-06
