lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,GDM-P,GDM-Q,GDM-R,GDM-S,G2M-P,G2M-Q,G2M-R,G2M-S,Blank1
[TG(41:0)]_FA18:0 | DG(42:0)_C18:0,0.0744404940485337,4.207620014895289,0.0551234597346672,0.8143764974383035,0.9999966898730842,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.018973063075417e-06,1.8480358029366983e-05,1.114508324369158e-05,1.2077757547212675e-05,1.1717355146403788e-05,6.731241110676976e-06,1.0600951972212655e-05,1.1046032219403324e-05,7.795359960504835e-06
[TG(41:0)]_FA18:0 | DG(42:0)_C18:0,0.0744404940485337,4.207620014895289,0.0551234597346672,0.8143764974383035,0.9999966898730842,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,DAG,9.764733869388807e-06,3.32788216600803e-05,1.9996625775098735e-05,2.211109633566962e-05,2.112369615657735e-05,1.2805265385896666e-05,2.1615881355698658e-05,1.99691984289445e-05,1.4422340855958774e-05
[TG(41:1)]_FA14:0,0.0930455613702836,3.3334862266848555,0.0857181775089799,0.7696928631765451,0.9999966898730842,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.43811640405077e-06,1.5739126338590522e-05,1.2483666340442795e-05,1.1880194730131896e-05,1.1184641187620827e-05,6.757682477759436e-06,1.1528708694532494e-05,1.1055817293690395e-05,8.559999143130104e-06
[TG(41:1)]_FA16:0,-0.1320938387764691,3.3344312052419776,0.1727453973028403,0.6776833236197096,0.9999966898730842,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.389121624142764e-06,1.4216419082015443e-05,1.1126547369227924e-05,1.125561035427376e-05,1.4685265665735512e-05,7.36569292419626e-06,1.0602965919167177e-05,1.1634293578450828e-05,8.025952542642538e-06
[TG(41:1)]_FA16:1,0.0204978807893548,3.4637069783506025,0.0041648220148058,0.9485438950515116,0.9999966898730842,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.795410360335175e-06,1.7693132247262974e-05,1.3610845082289452e-05,1.2361486545137667e-05,1.2300870914285948e-05,7.29456986531105e-06,1.3857051394654867e-05,1.28215328467698e-05,8.511479027714966e-06
[TG(41:1)]_FA18:0,0.0173090507304311,3.298801789333527,0.0029662438744479,0.9565660999883112,0.9999966898730842,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.019921372865395e-06,1.4987493497680696e-05,1.2017215371940167e-05,1.1600750281077757e-05,1.207743690830968e-05,6.731948061748183e-06,1.0604756174857582e-05,1.1398290050169717e-05,8.213866759218441e-06
[TG(41:1)]_FA18:1,-0.0095686935390936,3.499882209837782,0.0009077627966291856,0.9759640910991514,0.9999966898730842,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,6.825145951382226e-06,1.5955374045105855e-05,1.3113422388927962e-05,1.2546195851806356e-05,1.5320994662023745e-05,7.3259601056478416e-06,1.2336747653436027e-05,1.3059866042494051e-05,8.95838383284053e-06
[TG(41:2)]_FA14:0,0.0505812618828645,3.286602501202104,0.0253282091954748,0.8735519664020817,0.9999966898730842,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.017181891637281e-06,1.623174059041656e-05,1.1177931854280293e-05,1.1848537110932091e-05,1.119146173919749e-05,6.7549958856902505e-06,1.0869925373484573e-05,1.1282967579112569e-05,7.818402928958948e-06
[TG(41:2)]_FA16:0,0.0011048775218147,3.2618301686930145,1.2082830055604177e-05,0.9972265296939418,0.9999966898730842,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,4.993790752572275e-06,1.4214923729856823e-05,1.112725115102977e-05,1.1657401003657198e-05,1.1150302916551824e-05,6.899080216487128e-06,1.0604084844979062e-05,1.1069795698276863e-05,8.102383921622666e-06
[TG(41:2)]_FA16:1,-0.0124528007606777,3.409307919728034,0.0015365448716586,0.9687319010398904,0.9999966898730842,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.441698867508107e-06,1.6165639886599652e-05,1.2087370728164921e-05,1.3131743857398883e-05,1.2857104296422836e-05,7.293580058296804e-06,1.2536128103166443e-05,1.2084633754634607e-05,8.510667511073442e-06
