lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,G4M-P,G4M-Q,G4M-R,G4M-S,G4F-J,G4F-L,G4F-M,G4F-N,Blank1
DG(43:6)_C18:0,-0.0259216856188779,4.405000725108758,0.0090702282262604,0.9241259894121868,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,9.218292044510981e-06,3.338392185051801e-05,2.0154613894970232e-05,2.3672729527118843e-05,2.1369920652872767e-05,2.849863001439427e-05,2.173062913914315e-05,2.9224466956843964e-05,1.4778858727700396e-05
DG(43:6)_C18:1,-0.3421246446490623,4.703233777980323,1.57852552167396,0.208973208081733,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,9.761986379795078e-06,3.576429259776854e-05,2.2597026035487565e-05,2.7419207041995452e-05,2.4010093446192938e-05,3.212079130239574e-05,4.182514685329349e-05,3.90598002395975e-05,1.717419799676744e-05
DG(43:6)_C18:2,0.0388316554103316,4.6674170697174615,0.0203795679485203,0.8864820791013759,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,1.111594047571095e-05,3.710438910736125e-05,2.7440965671958963e-05,2.9428633935713463e-05,2.6795043324434393e-05,2.8513596503665445e-05,2.507615189425258e-05,3.858585876937739e-05,1.7624672868466866e-05
"DG(44:10),DG(43:3)_C16:0",0.0576126485373901,4.386194419087506,0.044797413852768,0.8323769810948813,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,9.399831261853831e-06,3.236803130741513e-05,2.0889404511806737e-05,2.4383933829646677e-05,2.1374803457181167e-05,2.2912649513488532e-05,2.2847291293434472e-05,2.9072921767885015e-05,1.491906412884238e-05
"DG(44:10),DG(43:3)_C16:1",-0.0482691464922279,4.510287939004918,0.031465487927242,0.8592058787131233,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,9.857781773383765e-06,3.41216275570989e-05,2.257544789024154e-05,2.4855374401447215e-05,2.3761554860480954e-05,2.6895076114190013e-05,2.4904882046079318e-05,3.348125383642096e-05,1.627357234623078e-05
"DG(44:10),DG(43:3)_C18:0",-0.0040821269367127,4.32223107059113,0.00022484512672038548,0.9880362996619328,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,9.43685699103594e-06,2.91819540866536e-05,1.9379620062364462e-05,2.263696920357767e-05,2.1820122046107688e-05,2.3623558289113233e-05,2.128424617411382e-05,2.7575484814228666e-05,1.3847725573185006e-05
"DG(44:10),DG(43:3)_C18:1",0.0099291516989703,4.505426827491371,0.0013314587855158,0.9708923221526072,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,1.0408758119521522e-05,3.309955491766618e-05,2.2525250515462773e-05,2.5964446449496154e-05,2.4170007662197822e-05,2.6702649364780158e-05,2.2925290835943526e-05,3.277178924398083e-05,1.6293532176666834e-05
"DG(44:11),DG(43:4)_C16:0",0.0531032675336447,4.760672446038688,0.0381302361026598,0.8451818557101932,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,1.4167029174488853e-05,5.372749104333184e-05,2.278736747963823e-05,2.5256633583797782e-05,3.1123959944127016e-05,3.093015261598615e-05,2.4240476003206894e-05,4.273518009912846e-05,1.5884762061029395e-05
"DG(44:11),DG(43:4)_C16:1",-0.1060036458055948,4.601240490753953,0.1517881897983599,0.6968323238567993,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,9.822499563097564e-06,3.9570619428666667e-05,2.278895739351141e-05,2.4859287992057895e-05,2.647741228475034e-05,3.144783340760586e-05,2.3580769104799346e-05,3.735837251525923e-05,1.7501993150205488e-05
"DG(44:11),DG(43:4)_C18:0",-0.0557869041722086,4.356624093019291,0.0419955336409647,0.8376282862298415,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,8.876649688030226e-06,2.9166499402627116e-05,2.0212760925761066e-05,2.2975091469529907e-05,2.0920451521957118e-05,2.6151828566237686e-05,2.091727219021859e-05,3.0198090140287424e-05,1.5028924335524241e-05
"DG(44:11),DG(43:4)_C18:1",0.0003763046176142716,4.51536179754568,1.912521163660585e-06,0.998896574419518,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,9.809473907044504e-06,3.298038172144872e-05,2.2943638307227177e-05,2.753869760303634e-05,2.431258763419397e-05,2.775404639577529e-05,2.340174584302173e-05,3.207680354206562e-05,1.63115447262003e-05
"DG(44:11),DG(43:4)_C18:2",0.0392545233497727,4.624754909656834,0.0208217936275545,0.8852654836258205,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,1.1052145231794664e-05,3.7567000534292616e-05,2.4714858378697065e-05,2.8819961915312895e-05,2.610802238316828e-05,2.9182812992783852e-05,2.508390508380222e-05,3.432585422901495e-05,1.7287465681941314e-05
"DG(44:12),DG(43:5)_C16:0",-0.1046835666932655,4.509729345820142,0.1479837399905009,0.7004696630340806,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,9.571216577274136e-06,3.817557317161164e-05,2.1473829930622834e-05,2.3047881438353304e-05,2.3695391781753286e-05,2.5886974960354805e-05,2.8428018624341323e-05,3.4218067348833463e-05,1.4538854174378136e-05
"DG(44:12),DG(43:5)_C16:1",-0.3222716683457132,4.905337998350022,1.4022425847410886,0.236348449506737,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,1.1928148751979288e-05,5.1021883794603824e-05,2.382038996359392e-05,2.770201882633912e-05,3.116351142271993e-05,3.7088334869271216e-05,3.5675868973354976e-05,5.9047393351466795e-05,1.6982064413640343e-05
"DG(44:12),DG(43:5)_C18:0",-0.3001337745960276,4.616237204591522,1.2150938240217355,0.2703256444125949,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,9.517575313530889e-06,4.184967611435279e-05,2.0119407303813335e-05,2.2531566941732677e-05,2.4496916290841698e-05,3.167473623460513e-05,4.056070810855134e-05,3.0151114293463375e-05,1.504450267559933e-05
"DG(44:12),DG(43:5)_C18:1",-0.0754447564861455,4.579707122453361,0.0768895539515992,0.7815577007255666,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,1.0539732941368038e-05,3.364699551467609e-05,2.2149110399141988e-05,2.806231762471817e-05,2.5695663328691356e-05,2.805738536173528e-05,2.7663058929004037e-05,3.364148672791145e-05,1.694896057639347e-05
