lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,N2M-P_x,N2M-Q_x,N2M-R_x,N2M-S_x,N2M-P_y,N2M-Q_y,N2M-R_y,N2M-S_y,Blank1
[TG(45:4)]_FA18:1,0,3.777457774146897,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.9601222389202825e-05,1.1144177126843612e-05,1.4912445953879036e-05,1.3307432931546232e-05,1.9601222389202825e-05,1.1144177126843612e-05,1.4912445953879036e-05,1.3307432931546232e-05,8.947998221204685e-06
[TG(45:4)]_FA18:2,0,3.8449034180219135,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.1032305147568348e-05,1.1535185770178793e-05,1.5879197494531032e-05,1.3954642081979333e-05,2.1032305147568348e-05,1.1535185770178793e-05,1.5879197494531032e-05,1.3954642081979333e-05,8.859720692533093e-06
[TG(45:4)]_FA18:3,0,3.938444822942541,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.3312738986720002e-05,1.2483767909593315e-05,1.604289504013625e-05,1.4899196520302783e-05,2.3312738986720002e-05,1.2483767909593315e-05,1.604289504013625e-05,1.4899196520302783e-05,9.498110028420192e-06
[TG(45:4)]_FA20:4,0,4.033758498512272,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.361437755691678e-05,1.3324736656839088e-05,1.7222398030060146e-05,1.6423510590585117e-05,2.361437755691678e-05,1.3324736656839088e-05,1.7222398030060146e-05,1.6423510590585117e-05,1.054819064891038e-05
[TG(45:5)]_FA14:0,0,3.6962753050683417,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.8014028065970325e-05,1.0191307717759564e-05,1.4082659989010998e-05,1.3696685135840421e-05,1.8014028065970325e-05,1.0191307717759564e-05,1.4082659989010998e-05,1.3696685135840421e-05,8.01524240482391e-06
[TG(45:5)]_FA16:0,0,3.7487635287422223,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.8901178621725952e-05,1.200593979641014e-05,1.3390115348728799e-05,1.3866854380192602e-05,1.8901178621725952e-05,1.200593979641014e-05,1.3390115348728799e-05,1.3866854380192602e-05,7.815482038556544e-06
[TG(45:5)]_FA16:1,0,4.562207557040611,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.7679317479034487e-05,1.5255985496183427e-05,1.4384700908264274e-05,4.746431835130004e-05,2.7679317479034487e-05,1.5255985496183427e-05,1.4384700908264274e-05,4.746431835130004e-05,9.065485334832699e-06
[TG(45:5)]_FA18:0,0,3.6779780836432794,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.948706824876164e-05,1.0470201529989113e-05,1.3112877051265302e-05,1.2278179870952583e-05,1.948706824876164e-05,1.0470201529989113e-05,1.3112877051265302e-05,1.2278179870952583e-05,8.34466028203029e-06
[TG(45:5)]_FA18:1,0,3.7977244302087287,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.1101477847908974e-05,1.1749769065411729e-05,1.4270608921620379e-05,1.3309492366993741e-05,2.1101477847908974e-05,1.1749769065411729e-05,1.4270608921620379e-05,1.3309492366993741e-05,8.587585818609367e-06
[TG(45:5)]_FA18:2,0,3.8232571508401816,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.038782658666769e-05,1.1935841066705534e-05,1.4812684179370673e-05,1.3956444020479066e-05,2.038782658666769e-05,1.1935841066705534e-05,1.4812684179370673e-05,1.3956444020479066e-05,8.862317211510074e-06
