lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,NDF-J,NDF-L,NDF-M,NDF-N,N2F-J,N2F-L,N2F-M,N2F-N,Blank1
PG(44:12),-0.003585189545949,4.017709162331788,0.0006638425758942468,0.979444664747108,0.9999876738607,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PG,1.5969143887762127e-05,1.6073143508607633e-05,1.5015104147940735e-05,1.7518570737336292e-05,1.9317129788707235e-05,2.0227197151971707e-05,1.6630264475273647e-05,1.648263415016057e-05,1.0466404170069465e-05
PG(44:2),-0.0268083677353515,4.027969014089583,0.0371292836832324,0.8472020652901543,0.9999876738607,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PG,1.5967407579715232e-05,1.6082353548298388e-05,1.5006999176953564e-05,1.7508859365012435e-05,1.931862504020865e-05,2.1519257989803124e-05,1.6627187054914898e-05,1.6490507464108224e-05,1.0472895281803087e-05
PG(44:3),-0.0006173517514287717,4.019136757130811,1.968452972778145e-05,0.99646001714568,0.9999876738607,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PG,1.5972368453090523e-05,1.6081855748093437e-05,1.5007462330772479e-05,1.765938617628755e-05,1.932041954737069e-05,2.023250429707757e-05,1.662436628598462e-05,1.6482380162915205e-05,1.0472408322295816e-05
PG(44:4),-0.0040532927777345,4.017585691140164,0.0008485053020182431,0.9767616157630276,0.9999876738607,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PG,1.596467921053931e-05,1.6077375166429954e-05,1.5006536023134641e-05,1.750885926210666e-05,1.9324606616659702e-05,2.0223763470647972e-05,1.6625904824965215e-05,1.6485935887464096e-05,1.046867594620336e-05
PG(44:5),0.0117133848285765,4.024529441238141,0.0070875761359,0.9329071629557296,0.9999876738607,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PG,1.596889597892927e-05,1.6084593815391445e-05,1.5641042223524297e-05,1.751506391434363e-05,1.9320120519888223e-05,2.0225011811396615e-05,1.6625648271364616e-05,1.6479586351659296e-05,1.0476465193619585e-05
PG(44:6),-0.0109389933976199,4.021168844494008,0.0061807415498184,0.9373367146384968,0.9999876738607,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PG,1.5962446469785713e-05,1.6078619833113114e-05,1.5016493653566269e-05,1.7519110220860535e-05,1.9713108746471076e-05,2.0231567714039502e-05,1.662385322769736e-05,1.6486443813511713e-05,1.0477763484059546e-05
"PG(44:7),PG(43:0)",-0.0132974349516367,4.022071400815574,0.0091334389422391,0.9238628653589446,0.9999876738607,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PG,1.5959966151375182e-05,1.607712614763406e-05,1.501672514213817e-05,1.7517761383417714e-05,1.932460667370424e-05,2.0741961171135877e-05,1.6633085439859673e-05,1.6494825150393216e-05,1.0474517912717e-05
"PG(44:8),PG(43:1)",-0.0046915588105873,4.031668315800845,0.0011372807935998,0.9730975643641492,0.9999876738607,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PG,1.596666342741906e-05,1.6751694516938e-05,1.5020893394002096e-05,1.7509398848536675e-05,1.9321615771389635e-05,2.0221266015115116e-05,1.662667414336945e-05,1.722654588518991e-05,1.0476140698388274e-05
"PG(O-35:1),PG(P-35:0)",0.0149238114292526,3.980157590295436,0.0114899106628647,0.9146374545792924,0.9999876738607,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PG,1.5459659254116316e-05,1.5556140512386423e-05,1.4524635340069883e-05,1.7815578001916733e-05,1.86884684311191e-05,1.9576328326028153e-05,1.6094540594537754e-05,1.5944447530224727e-05,1.0232566171346574e-05
"PG(O-35:2),PG(P-35:1)",0.026303572478354,4.015119410619307,0.0357354617937,0.8500628342662025,0.9999876738607,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PG,1.6084236746185512e-05,1.6710871861580657e-05,1.5542392624364886e-05,1.6953420763469973e-05,1.9719090208833044e-05,1.9580386534973397e-05,1.6788237464898398e-05,1.5959686328958642e-05,1.013065742874512e-05
