lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,N2M-P,N2M-Q,N2M-R,N2M-S,N2F-J,N2F-L,N2F-M,N2F-N,Blank1
FA(37:0),-2.797767066365867,7.832147587828405,339.5870527360468,7.848801146729448e-76,5.168996183774681e-74,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.00010021245956402916,3.9188334079812925e-05,5.320853990378951e-05,2.7660080149917966e-05,0.0003464315695075816,0.0003945895441694895,0.0003435315975340754,0.0003806722301887943,0.0003024769368377304
FA(30:4),-2.7668333092088973,8.88978658764876,333.6758924437097,1.521199921901366e-74,9.817824295951416e-73,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.00010809059724089437,8.372474049412687e-05,7.938689307111949e-05,7.23347572454802e-05,0.0005354444989254169,0.0008931286517120482,0.0004394053975073081,0.0005590149537157074,0.0010660621530090193
FA(33:0),-2.7536751544428,7.869941098994368,330.2874527455179,8.321082879368976e-74,5.265124402298761e-72,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.00010746879713933488,3.676489466145158e-05,3.424857960443552e-05,5.9277300573302225e-05,0.000417553744645849,0.00042726786039046916,0.0003803855047977424,0.0003241494155995502,0.0002836636057474411
FA(30:5),-2.727608609751248,9.420461858611596,325.7209964317176,8.218228991475683e-73,5.1000432606715444e-71,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.00023206485209793185,0.00011513963423459351,0.00010841589509118959,0.00011311562623735317,0.0007596498901541653,0.001466094713099959,0.0006733274806212267,0.0008678007726427889,0.0013637545565995538
FA(26:1),-2.6631005627963624,9.605031700529514,312.2869174785739,6.934911462521519e-70,4.2224451489730075e-68,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.0001807363782862468,0.000256469564263825,0.00014721190306395823,0.000105339332677513,0.0011502289284082068,0.0014104112263805075,0.0010718809234405466,0.0010667835569506305,0.0012240336345757828
FA(24:10),-2.6577083680104163,11.999236586024852,311.57682682047744,9.902078130054448e-70,5.917408541793649e-68,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.0009225445134205275,0.0022157186553297854,0.0004784780861554015,0.00037143598448687254,0.00889374924922074,0.009110796497908531,0.0056680384805953025,0.005224190916369678,0.0038895663619059944
FA(32:5),-2.651921745626063,8.599696361884842,309.45934564203213,2.8641972964286816e-69,1.6805026682864283e-67,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.00016464406827481774,7.72175763569194e-05,7.522280720745612e-05,6.383711309138297e-05,0.0005882777629373238,0.0006428725012196144,0.0005332927465334263,0.0005734121378330926,0.0006038323961186025
FA(36:4),-2.626380337994534,8.10789474664575,303.82202347251194,4.842821218107518e-68,2.7906757269344574e-66,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.00011145171301545924,7.791363040104758e-05,3.166745186728743e-05,5.514509910450754e-05,0.00047940182154615214,0.0004804199763155089,0.00043246432071777224,0.00033796168385217564,0.00038701078705358265
"PE(dO-38:9),PE(35:2),PE(O-36:2),PE(P-36:1)",-2.615426440555481,6.256392693440939,299.2993362455486,4.681909214414583e-67,2.650617725423835e-65,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PE,2.6375997075839567e-05,1.5467353104060496e-05,3.468924001408414e-05,2.321148313658771e-05,0.00023466773147125264,0.0002816836059431243,6.213704766931586e-05,7.346845184058054e-05,1.0730100806114347e-05
FA(32:4),-2.5868442454973954,8.499189323779156,295.9117724566441,2.56140666178439e-66,1.425113671996246e-64,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.00014272498884313706,7.441406053644505e-05,5.675090667604247e-05,7.477710950994672e-05,0.0004951470716506106,0.000608181021074055,0.000503239631816779,0.0004690885010967488,0.0006269273551219173
FA(26:3),-2.562723242103612,8.822368399120716,291.2476263899919,2.658959949984024e-65,1.4543158912878717e-63,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.00015747882686462615,0.0001665855766260136,6.035913904049647e-05,6.608767127819955e-05,0.000715871194055618,0.0007975686106281419,0.0006002005220329433,0.0006782818385240983,0.0006508695601554609
"PE(O-38:9),PE(36:2),PE(O-37:2),PE(P-37:1)",-2.521303852739164,6.922242343173594,281.4988600017265,3.5397422144850865e-63,1.903791354357229e-61,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PE,6.295290066150213e-05,2.5971424779971925e-05,4.293308406782731e-05,3.922926441889443e-05,0.0003535711570376825,0.0004485895148399513,8.921508064706827e-05,0.00012501830540478638,2.2304679992792294e-05
FA(25:1),-2.4858711230946686,9.584127096257854,276.0204091429441,5.531459797488831e-62,2.9262329125404027e-60,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.000363342317926778,0.0002949954987633234,9.162065581913894e-05,9.103328317529575e-05,0.0011249227623968143,0.001493811445904711,0.0010680387754462243,0.0011150634015130885,0.001037433756654212
FA(26:4),-2.4738801474500627,9.20878328749852,273.4916098144081,1.967640988024032e-61,1.0241253981215406e-59,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.00015959067557892793,0.00026729283119082486,7.116178863472417e-05,9.522624051860448e-05,0.0008554453770013603,0.0010914763493525199,0.0008553574218400136,0.0008098175604101174,0.0008543911116500966
FA(28:5),-2.4696732130165224,9.49817509713099,272.7280174436876,2.8864271214540746e-61,1.4784921144336982e-59,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.0002887203752255877,0.00013712508412595968,0.00020472562575080583,0.0001394189856098001,0.0010840965531648597,0.001183934444562208,0.000901105775268498,0.0010462080088331387,0.0011748323703663398
