lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,G2M-P_x,G2M-Q_x,G2M-R_x,G2M-S_x,G2M-P_y,G2M-Q_y,G2M-R_y,G2M-S_y,Blank1
[TG(41:0)]_FA18:0 | DG(42:0)_C18:0,0,4.171345371994821,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.1717355146403788e-05,6.7312411106769744e-06,1.0600951972212655e-05,1.1046032219403324e-05,1.1717355146403788e-05,6.7312411106769744e-06,1.0600951972212655e-05,1.1046032219403324e-05,7.795359960504835e-06
[TG(41:0)]_FA18:0 | DG(42:0)_C18:0,0,4.171345371994821,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,DAG,2.112369615657735e-05,1.2805265385896664e-05,2.1615881355698658e-05,1.99691984289445e-05,2.112369615657735e-05,1.2805265385896664e-05,2.1615881355698658e-05,1.99691984289445e-05,1.4422340855958774e-05
[TG(41:1)]_FA14:0,0,3.2891765281963656,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.1184641187620827e-05,6.757682477759435e-06,1.1528708694532494e-05,1.1055817293690395e-05,1.1184641187620827e-05,6.757682477759435e-06,1.1528708694532494e-05,1.1055817293690395e-05,8.559999143130104e-06
[TG(41:1)]_FA16:0,0,3.389366587270993,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.4685265665735512e-05,7.365692924196258e-06,1.0602965919167177e-05,1.1634293578450828e-05,1.4685265665735512e-05,7.365692924196258e-06,1.0602965919167177e-05,1.1634293578450828e-05,8.025952542642538e-06
[TG(41:1)]_FA16:1,0,3.451866690765667,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.2300870914285948e-05,7.294569865311048e-06,1.3857051394654867e-05,1.28215328467698e-05,1.2300870914285948e-05,7.294569865311048e-06,1.3857051394654867e-05,1.28215328467698e-05,8.511479027714966e-06
[TG(41:1)]_FA18:0,0,3.288471216489054,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.207743690830968e-05,6.731948061748181e-06,1.0604756174857582e-05,1.1398290050169717e-05,1.207743690830968e-05,6.731948061748181e-06,1.0604756174857582e-05,1.1398290050169717e-05,8.213866759218441e-06
[TG(41:1)]_FA18:1,0,3.50148576366362,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.5320994662023745e-05,7.325960105647841e-06,1.2336747653436027e-05,1.3059866042494051e-05,1.5320994662023745e-05,7.325960105647841e-06,1.2336747653436027e-05,1.3059866042494051e-05,8.95838383284053e-06
[TG(41:2)]_FA14:0,0,3.2612826445626,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.119146173919749e-05,6.754995885690249e-06,1.0869925373484573e-05,1.1282967579112569e-05,1.119146173919749e-05,6.754995885690249e-06,1.0869925373484573e-05,1.1282967579112569e-05,7.818402928958948e-06
[TG(41:2)]_FA16:0,0,3.2586896919708157,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.1150302916551824e-05,6.899080216487126e-06,1.0604084844979062e-05,1.1069795698276863e-05,1.1150302916551824e-05,6.899080216487126e-06,1.0604084844979062e-05,1.1069795698276863e-05,8.102383921622666e-06
[TG(41:2)]_FA16:1,0,3.4121834520926484,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.2857104296422836e-05,7.293580058296802e-06,1.2536128103166443e-05,1.2084633754634607e-05,1.2857104296422836e-05,7.293580058296802e-06,1.2536128103166443e-05,1.2084633754634607e-05,8.510667511073442e-06
[TG(41:2)]_FA18:0,0,3.337642394734647,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.1182994838303773e-05,6.729544406530484e-06,1.2903784777166822e-05,1.1977232339517026e-05,1.1182994838303773e-05,6.729544406530484e-06,1.2903784777166822e-05,1.1977232339517026e-05,7.794223979583473e-06
[TG(41:2)]_FA18:1,0,3.41792399758158,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.2431168427255805e-05,7.366117100232881e-06,1.2298706480607322e-05,1.2863934465043735e-05,1.2431168427255805e-05,7.366117100232881e-06,1.2298706480607322e-05,1.2863934465043735e-05,8.502878263657219e-06
