lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,GDM-P,GDM-Q,GDM-R,GDM-S,GDF-J,GDF-L,GDF-M,GDF-N,Blank1
"[TG(52:9),TG(51:2)]_FA18:2",0.0382838478787173,3.6003372441725405,0.0219876925724555,0.8821198449046627,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,5.678454805688057e-06,1.7650660640500413e-05,1.3313095301777708e-05,1.2795172846735968e-05,1.2646373931000544e-05,1.367824696572951e-05,1.5285161020416314e-05,1.3900900127136638e-05,8.861181230588711e-06
"[TG(52:9),TG(51:2)]_FA18:3",-0.0295148569286935,3.6940951955972112,0.0130794762967882,0.9089480313545792,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,6.09475327758401e-06,1.733989785788044e-05,1.3619291806494205e-05,1.3828688499227982e-05,1.4095093845471865e-05,1.3985508518776528e-05,1.738868323863863e-05,1.5042734101794984e-05,9.766188092923094e-06
"[TG(52:9),TG(51:2)]_FA20:4",-0.031319219850539,3.80946857870006,0.0147432381342671,0.9033570008888228,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,6.551617450678965e-06,1.9471867331556206e-05,1.4759140545142473e-05,1.4819835455444068e-05,1.496367498262938e-05,1.6396311170359865e-05,1.7809838007397268e-05,1.6621053907257502e-05,1.0151915487718194e-05
"[TG(52:9),TG(51:2)]_FA22:5",0.0068343175512777,3.924718389542304,0.0007026799951841411,0.9788520635331188,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,7.401810508010012e-06,2.056387357487161e-05,1.61596669126004e-05,1.6312030422113707e-05,1.6067937500841376e-05,1.642577780641564e-05,1.942886289576397e-05,1.8337008692636794e-05,1.1233802026432957e-05
"[TG(52:9),TG(51:2)]_FA22:6",-0.0474324356141751,4.063366945472828,0.0338798662037902,0.8539625869127401,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,7.868368233157808e-06,2.233094357739548e-05,1.7493557504134092e-05,1.7804225343383196e-05,1.7850190475254805e-05,2.0149749692724383e-05,2.1445958034632405e-05,1.925175733327965e-05,1.2341977073992907e-05
"[TG(53:10),TG(52:3)]_FA14:0",0.017969887504798,3.3956109607985105,0.0048341158180653,0.9445695001532308,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,5.0137048763217635e-06,1.4293586601231834e-05,1.1494686920887358e-05,1.134725106746348e-05,1.1177200472004418e-05,1.1419054787981806e-05,1.3530724799596939e-05,1.230720232137347e-05,7.819376569410241e-06
"[TG(53:10),TG(52:3)]_FA16:0",0.1666240064181289,5.066122802443529,0.4201139427028764,0.5168801945518595,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,2.449333475247793e-05,5.109398598470501e-05,3.9149040754375115e-05,2.6626241539914045e-05,4.0637835841254185e-05,5.358850089828688e-05,3.37585430370788e-05,2.4573908283787815e-05,1.307091568373402e-05
"[TG(53:10),TG(52:3)]_FA16:1",0.2449761703584705,3.9659538916789394,0.902198393776722,0.3421929241686557,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,6.192637730904554e-06,2.4686039708396856e-05,2.130658357861087e-05,1.9373065079494496e-05,1.4554137985462034e-05,1.7054084123748928e-05,1.7211888292191504e-05,1.8614073065376417e-05,9.833369903091683e-06
"[TG(53:10),TG(52:3)]_FA18:0",0.0688899328263118,3.5521456867341463,0.0711688328700574,0.7896425017573884,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,5.105372692420766e-06,2.2089571535763935e-05,1.1158222786383124e-05,1.2069664833302173e-05,1.1211367234773627e-05,1.400451908503598e-05,1.371427607254313e-05,1.467263142909418e-05,7.851506982866124e-06
"[TG(53:10),TG(52:3)]_FA18:1",0.0479407168761132,5.065013216219858,0.0347824605098807,0.8520522363193271,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,1.4540839865495087e-05,5.78419324905686e-05,3.7586617720840674e-05,2.75804941505991e-05,3.406200101680465e-05,4.220651677343376e-05,3.4260212763905954e-05,3.838740917060277e-05,2.8315665499399155e-05
"[TG(53:10),TG(52:3)]_FA18:2",-0.1203398258319133,4.490649033281381,0.2185761372272314,0.6401269784976864,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,8.185201976578717e-06,2.9910082539042356e-05,2.922311246958519e-05,2.058367343617496e-05,2.899485134629922e-05,2.432332605344661e-05,2.2570070005933144e-05,3.100636813234806e-05,1.7539803499219666e-05
