lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,G4F-J,G4F-L,G4F-M,G4F-N,G4M-P,G4M-Q,G4M-R,G4M-S,G2F-J,G2F-L,G2F-M,G2F-N,G2M-P,G2M-Q,G2M-R,G2M-S,Blank1
FA(32:4),0.018934549993737,8.700093211992483,0.0086341575718051,0.925966983528466,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.00047487757483876953,0.00048488454951142723,0.0004602297944737228,0.0004370018085870714,0.0005544297218175927,0.00010146576139782996,7.209533796528313e-05,9.506608726731267e-05,0.0004895114068815968,0.000707737264232994,0.00040708793565121583,0.0006254566198459612,0.00012494694228733455,0.0005407712723649346,0.00010703059108415501,7.240645859464618e-05,0.0006269273551219173
FA(32:5),0.0715811743954517,8.794081413741996,0.1233895505685325,0.7253869335426576,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.0005304291217346522,0.0006427635292378116,0.0005160767671425053,0.0005849935272689989,0.0005044108597584196,0.00010064597323885219,0.00011812911921438688,0.00013452150600563517,0.0005817125021238372,0.000711834430088781,0.0005268101362869818,0.0007304910754164285,0.0001161916177707793,0.0004887425353097888,6.432401841377378e-05,0.0001215944221705313,0.0006038323961186025
FA(32:6),-0.0689882179814734,9.104990361032833,0.1146218772710199,0.7349423287241742,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.0006786572074849996,0.0006730578850237837,0.0004978721012559785,0.0010560390197493592,0.0006425296617893958,0.00013902829876972432,9.369159628961857e-05,0.00014344495717700552,0.0009279203628158714,0.0009502283439785147,0.0007586782521592588,0.0009347301345627513,0.00011818065232061674,0.0006135928255230705,0.00012668779839735894,0.0001451227762457148,0.00048439208666887097
FA(33:0),0.0999982620799836,8.059963935700736,0.2407310332368979,0.623678621953727,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.0003660999682879842,0.0003814804304483722,0.00029180174013622505,0.0003689810544365587,0.0003459180544701521,6.636327290596776e-05,4.7019103457540486e-05,4.476258056465518e-05,0.000386176221148425,0.00041995657925435485,0.00033973913038821735,0.0002515439306601034,8.226396972791004e-05,0.00036110419113341433,5.0352843457951766e-05,6.75174823180465e-05,0.0002836636057474411
FA(34:0),0.0399745432654818,8.019387029556773,0.0384758303971466,0.8444907511133363,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.00022390198063964082,0.00022256822736157103,0.00018786874201893845,0.00027099387478756506,0.0005042507684742321,4.6582256072078685e-05,9.648425342914585e-05,5.9683267182646854e-05,0.00023145616670762156,0.00027531668718970483,0.00022585183532003211,0.00041722155295378016,7.471260359968647e-05,0.0005166321349611273,5.452595815393346e-05,0.00010412177886077058,0.00018225284744373825
FA(34:1),0.1809116573820602,8.357952618459661,0.7876205066979765,0.3748206031647075,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.00038048224341858934,0.0004376128488761053,0.0003452687902097494,0.00043726306477207086,0.00046375933481603764,5.054553511094743e-05,6.098444067651399e-05,3.962500122888619e-05,0.0004434421229674171,0.0004578728837283474,0.0004251288451577737,0.00027183396580889767,3.339610868927752e-05,0.00045339493708787564,6.95810813929545e-05,3.523300599220839e-05,0.0005243191709110464
FA(34:5),0.0114230649695051,9.572540906037158,0.0031429938426299,0.9552920890969324,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.0011724359300444003,0.0011646738848486284,0.0009697560146373508,0.0006808474858210065,0.0006945161204776741,7.046152379528261e-05,7.086311472636226e-05,7.046091235718752e-05,0.0012265982927703704,0.001412524106951601,0.0011275516600500876,0.0007481680481729085,6.54643134248801e-05,0.0006746162812403276,0.00010140161818124067,9.691447197904625e-05,0.0016800748390986334
FA(34:6),0.0528817708142988,8.541702937648557,0.0673420926981407,0.7952467429636677,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.00044089639992242425,0.00047903237627543556,0.0003835895969730185,0.0004499504200603283,0.00044920214676377735,0.00012132611095317408,0.00014207965856846618,0.0001356587534080233,0.00048189459746170426,0.0005980401006068097,0.0004784723141189071,0.00044732904349937196,0.00012058057048631888,0.00044330832350195965,0.00010072358917404038,0.00012438918592041077,0.00046368955632010943
FA(35:0),-0.0845151689560395,7.546825012426058,0.1719270762641827,0.678404802272883,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.00023189403380706282,0.0002376520602377637,0.00018657869390926025,0.0002932321324797547,0.00022147060049247175,4.058925741001343e-05,4.7313474414703986e-05,3.716291870967867e-05,0.00025761102286416074,0.00025085411236977956,0.0002517688294365149,0.00035256325173335803,5.9187460276558364e-05,0.0002464837507274975,3.143766070016343e-05,7.213993494312767e-05,0.00017017862279381242
FA(36:0),-0.0260600901224133,8.633508672785561,0.0163555924909815,0.898236828139347,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.0004684268008121783,0.0006525842293007915,0.00038398899848623964,0.0006918083100339068,0.0003830538885578173,0.00018769830933236482,0.00023634023642046267,0.00011023410210309393,0.0006249271467845143,0.00038732077077015183,0.00035627851409531885,0.0008470326856046613,0.00024341406252929455,0.00048419816417749433,0.00012202932201584631,0.0002300313512930006,0.0001966073594490085
FA(36:4),0.173447206817501,8.435855287341704,0.7240372865883273,0.3948227906188223,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.0003904149973243324,0.0005376740980782899,0.0002919166241045611,0.0005414159901369303,0.0005144707012965312,5.065440452942401e-05,6.471336096374097e-05,6.79062111129042e-05,0.0004635024152614322,0.0004614636127598659,0.0003703356025637811,0.0006540753202221072,9.174416269369189e-05,0.00040030516467073446,4.081928209120457e-05,7.396692198973727e-05,0.00038701078705358265
FA(36:5),0.4604071189517632,11.045629365365896,5.085037440418091,0.0241331556420989,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.0034788305109790326,0.0014963153327523073,0.0009940350227647995,0.011370983764860362,0.0027235425699324934,0.0002893193142886219,0.00022315489143495378,0.0002583045067735671,0.005397043630409319,0.0011192566896461994,0.0015432315155074082,0.005228325105130113,0.000377962797995302,0.0016425144691029044,0.00025725333342920296,0.00015185248126077722,0.00039936883112948884
FA(37:0),0.1995407615667812,8.044619793833114,0.9579584848446672,0.327701772576017,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.00029896453079003343,0.0003798140695534216,0.00021716720727272976,0.0006449122327342005,0.0003116355665529813,5.325938441238444e-05,7.968764598536441e-05,7.216117708770851e-05,0.0003288201669634045,0.00033061809504562987,0.00027460689646498357,0.00046352770434026795,8.296790702126348e-05,0.0002758854423156052,8.841973711146192e-05,8.280971358379832e-05,0.0003024769368377304
FA(38:0),-0.0978085328606008,8.798426968174818,0.2303608829591894,0.6312563682549124,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.0006154710495962322,0.0008172128268431233,0.0004098867191141684,0.0006252785665981557,0.00044965506676601625,0.00013919245830305426,0.00017145765817521598,0.00014501137881050535,0.0007495843922803419,0.00048275694205259564,0.0005347625969917647,0.0009873499501542055,0.0001872888206403704,0.0005653654260570239,0.00012393563339484247,0.0002160882771595623,0.00015907350562831428
