lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,SDF-J,SDF-L,SDF-M,SDF-N,SDM-P,SDM-Q,SDM-R,SDM-S,S4F-J,S4F-L,S4F-M,S4F-N,S4M-P,S4M-Q,S4M-R,S4M-S,Blank1
"[TG(61:14),TG(60:7),TG(59:0)]_FA14:0",0.0188131375423372,3.8559203538420608,0.0069087428072556,0.93375703957624,0.999959759909276,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Goingtosleep,TAG,1.610249742116145e-05,1.6612842927319273e-05,1.3852140882542618e-05,1.435952785168514e-05,1.3420489618165658e-05,1.0017862624307591e-05,1.319862821073321e-05,2.533771876380635e-05,1.5085163660804005e-05,1.39712276866236e-05,1.5462561946552732e-05,1.5514107729078538e-05,1.1406711150549038e-05,1.1143805423918418e-05,1.8873001113525227e-05,2.2009842325519473e-05,8.1590179344427e-06
"[TG(61:14),TG(60:7),TG(59:0)]_FA16:0",-9.426140399276006e-05,3.857238666169734,1.7343781777423573e-07,0.9996677140723894,0.999959759909276,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Goingtosleep,TAG,1.6156298565105662e-05,1.675449158691908e-05,1.3964669930716008e-05,1.43841123479959e-05,1.2623686167497708e-05,9.797965004638826e-06,1.3231412865725822e-05,2.5367289711660264e-05,1.5124885819224526e-05,1.4141836086425324e-05,1.5633407163937793e-05,1.5625893908800328e-05,1.1450169300553054e-05,1.1155034527229079e-05,1.8963364461070476e-05,2.205720030381012e-05,8.414925323071354e-06
"[TG(61:14),TG(60:7),TG(59:0)]_FA16:1",0.0068719006539225,3.909226473487937,0.0009221203262759632,0.975774814128448,0.999959759909276,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Goingtosleep,TAG,1.67878194733147e-05,1.722005009468919e-05,1.4474230342434729e-05,1.495269625124032e-05,1.3086444086943976e-05,1.0268328984531515e-05,1.4065156341229493e-05,2.6305402546835834e-05,1.559050122626264e-05,1.457393305641625e-05,1.6134820227134024e-05,1.6203403449089848e-05,1.1904294569725237e-05,1.16455236771688e-05,1.9681696862449144e-05,2.2841479831335117e-05,8.508558044458146e-06
"[TG(61:14),TG(60:7),TG(59:0)]_FA18:0",0.00015717611739130073,3.866334520168348,4.82264733037141e-07,0.999445906853307,0.999959759909276,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Goingtosleep,TAG,1.6127476639325814e-05,1.6571239762843495e-05,1.3876471372105762e-05,1.4364387653146411e-05,1.2874789161096624e-05,1.0087677537042567e-05,1.3253802347769445e-05,2.641145019127196e-05,1.5475515898914893e-05,1.3962585603660523e-05,1.5488204211983456e-05,1.5854110692414793e-05,1.2155155912384248e-05,1.1122245483878411e-05,1.8945063018069657e-05,2.198682741393729e-05,8.137435287383898e-06
"[TG(61:14),TG(60:7),TG(59:0)]_FA18:1",0.0049439156596332,3.916923555528742,0.00047730917439992027,0.9825696782136756,0.999959759909276,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Goingtosleep,TAG,1.6832013084699584e-05,1.7848719037049688e-05,1.4458194255251554e-05,1.5061038837692004e-05,1.3152949825168143e-05,1.0250184894538494e-05,1.3869514603715313e-05,2.6473651415459753e-05,1.5679204246784013e-05,1.4713040433202625e-05,1.6266120929901224e-05,1.629815841977358e-05,1.1978564269414815e-05,1.1675168573305913e-05,1.9800275098248472e-05,2.3003470014974433e-05,8.506448361182548e-06
"[TG(61:14),TG(60:7),TG(59:0)]_FA18:2",-0.0111212414064055,4.0268945571074966,0.0024169357189561,0.9607899229203016,0.999959759909276,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Goingtosleep,TAG,1.8157502091385482e-05,1.8696629849593273e-05,1.5692696899611093e-05,1.6172192467353585e-05,1.4145730184073349e-05,1.1015980695800774e-05,1.490076555182805e-05,2.8497222163905533e-05,1.6989438135264742e-05,1.674612623473935e-05,1.7482426753170812e-05,1.76563122908259e-05,1.2857153232088567e-05,1.255777957179017e-05,2.132539716640366e-05,2.47588042508423e-05,9.200822564669697e-06
"[TG(61:14),TG(60:7),TG(59:0)]_FA18:3",0.0008756376794512433,4.121645721313144,1.4991691222654424e-05,0.9969106700791052,0.999959759909276,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Goingtosleep,TAG,1.9373147235830728e-05,1.9996231280475135e-05,1.6727854232113266e-05,1.7277915372069346e-05,1.5253567849378265e-05,1.190819285900602e-05,1.6012245803479755e-05,3.0617153590887826e-05,1.809807470555662e-05,1.688885752044427e-05,1.8744765027336228e-05,1.871750586436608e-05,1.3829556540723631e-05,1.3563686589822184e-05,2.2930206558544943e-05,2.6588494913359132e-05,9.837589114885522e-06
"[TG(61:14),TG(60:7),TG(59:0)]_FA20:4",0.0034923747925666,4.2190229937473385,0.00023860386274732195,0.987675720866642,0.999959759909276,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Goingtosleep,TAG,2.066372991260576e-05,2.1340077402573116e-05,1.8019588854075823e-05,1.8489979223274886e-05,1.6328785036075798e-05,1.2736112063544011e-05,1.7220747533751718e-05,3.284109353138138e-05,1.9308256808567517e-05,1.7989729268267075e-05,1.9953656184140268e-05,2.002983074584072e-05,1.4846337592633198e-05,1.4497951686281601e-05,2.4609365590148366e-05,2.8489886452038212e-05,1.0485065771968503e-05
"[TG(61:14),TG(60:7),TG(59:0)]_FA22:5",-0.0200510957331114,4.320466216518375,0.0078692998461783,0.9293131207981454,0.999959759909276,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Goingtosleep,TAG,2.2125002203217767e-05,2.283613791336746e-05,1.9114466843494333e-05,1.977579612721866e-05,1.727377231920349e-05,1.3525771281381417e-05,1.822107971448328e-05,3.49992629662972e-05,2.0649850274814022e-05,2.0531853015074863e-05,2.2368040113862146e-05,2.169702215368154e-05,1.5673650590651224e-05,1.533991288785917e-05,2.6070813387889336e-05,3.0420046186998274e-05,1.1232503797895939e-05
"[TG(61:14),TG(60:7),TG(59:0)]_FA22:6",0.0016338375415182,4.433964957262539,5.22775161311273e-05,0.9942310901828152,0.999959759909276,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Goingtosleep,TAG,2.4072724653393734e-05,2.480667189574815e-05,2.0747383251795862e-05,2.1381495118382024e-05,1.8928575077891607e-05,1.4748322741131866e-05,1.9988519766614117e-05,3.8214340050409526e-05,2.2442126346771197e-05,2.0943599573734214e-05,2.3173452911142184e-05,2.316882024581065e-05,1.720388107178487e-05,1.6832041968301228e-05,2.856705674795201e-05,3.314555084817668e-05,1.2269440256817948e-05
