lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,NDM-P,NDM-Q,NDM-R,NDM-S,NDF-J,NDF-L,NDF-M,NDF-N,Blank1
DG(35:5)_C18:1,-0.0555736417616588,4.927318778254654,0.103616615597522,0.7475319769125554,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,3.396988499447158e-05,3.292083702080354e-05,3.7579284090676745e-05,3.7917641108301744e-05,2.6679979627608372e-05,2.7134070924630726e-05,2.7437300517650297e-05,3.0233771116503723e-05,2.2366831198331408e-05
DG(35:5)_C18:2,0.1199015113688794,4.918836991214421,0.4824306876724424,0.4873233730563491,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,3.6354136401552865e-05,3.246843172320982e-05,4.4011881723697014e-05,4.393136950333831e-05,2.6369675216730636e-05,2.6646937934755882e-05,2.6073112392197375e-05,2.878542250315866e-05,1.7291522708022442e-05
DG(35:6)_C16:0,-0.063097757811889,4.639273902061686,0.1331668166270549,0.7151709094562988,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,2.8484022868700135e-05,2.5131949277786755e-05,3.332953466084568e-05,3.305018292418824e-05,2.3601243736865844e-05,2.1266821045820317e-05,2.1054955205525007e-05,2.8301470845404745e-05,1.5346171629710794e-05
DG(35:6)_C16:1,0.0422311195162077,4.760982818619387,0.0597416636439156,0.8069047184243539,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,3.082724508716775e-05,2.7621309523538797e-05,3.756213458037135e-05,3.899322585779962e-05,2.3903114563652813e-05,2.3398307090924753e-05,2.2692398298029624e-05,2.817522243921283e-05,1.7412255176332703e-05
DG(35:6)_C18:0,0.023888643715007,4.634170136426572,0.0190911131864446,0.8901055943450317,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,2.8467415501186236e-05,2.768739145343492e-05,3.401812898123989e-05,3.388456288983376e-05,2.1852029764301436e-05,2.5114597901837548e-05,2.032156800574161e-05,2.4466813413926732e-05,1.4186393143008812e-05
DG(35:6)_C18:1,0.0778673980714502,4.794458393222622,0.2031931861579181,0.6521556504885085,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,3.1107936814181756e-05,3.4721987403603856e-05,3.816311686237986e-05,3.5223213983475685e-05,2.511655113648091e-05,2.46085472697631e-05,2.358186480128614e-05,2.6356761269831834e-05,1.6936952240989292e-05
DG(35:6)_C18:2,0.0912999654181432,4.911573275498395,0.2797328766644469,0.5968763522648318,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,3.497151840037111e-05,3.317923349454103e-05,4.4755280438025105e-05,4.128685930901324e-05,2.637265163667195e-05,2.7534829193240974e-05,2.5405954465936894e-05,2.9136381979129662e-05,1.72934700198765e-05
DG(36:3)_C16:0,0.0249591430660195,4.5907353038345375,0.0208259412037534,0.8852541360811876,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,2.7755917262674356e-05,2.4530153943772735e-05,3.16801887505746e-05,3.625835518696309e-05,2.2508108899290957e-05,2.166907276252278e-05,1.9724113227489836e-05,2.459872673156693e-05,1.4488224499493288e-05
DG(36:3)_C16:1,0.049516915980051,4.720547626725087,0.0820977260737505,0.774474511106315,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,3.1332945862426615e-05,2.7428994710379355e-05,3.4966950272938385e-05,3.814463630188862e-05,2.3768674076704814e-05,2.4165472992658034e-05,2.1739481046644687e-05,2.584718211228746e-05,1.638862521944894e-05
DG(36:3)_C18:0,0.0439780560287918,4.617899869173226,0.0646757879172028,0.799252715534264,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,2.9684614825500437e-05,2.4076053935255216e-05,3.669309611776666e-05,3.277800770083293e-05,2.2516046429161798e-05,2.207754733786736e-05,1.986745606595537e-05,2.4901668675084224e-05,1.5068194820224898e-05
DG(36:3)_C18:1,0.1731271910321001,4.993254341995546,1.0063047216505936,0.315789743802183,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,3.771819402738401e-05,3.8133950420039506e-05,4.762001215999453e-05,4.4181683513880704e-05,2.8487980306866848e-05,2.6892869324877732e-05,2.7325914806833547e-05,2.8879299582516237e-05,1.782199924193615e-05
DG(36:3)_C18:2,0.1811561669655564,5.134993046679719,1.103231500481229,0.2935580172553991,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,4.0095281631542416e-05,4.738059000876177e-05,5.22127539292136e-05,4.4119742565379014e-05,2.853535691490715e-05,3.309615846053142e-05,2.7212444771325326e-05,3.409675315667607e-05,1.9966137015112402e-05
"DG(36:4),DG(O-37:4)_C16:0",0.1713625852243315,4.634785817856687,0.9816793304243988,0.3217845579308968,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,2.9350194297075674e-05,2.5114440209451882e-05,3.4683235815977104e-05,4.153863085420248e-05,2.186964084822492e-05,2.181643235307275e-05,1.9733376038855526e-05,2.3053803415431542e-05,1.4940322187815451e-05
