lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,NDF-J,NDF-L,NDF-M,NDF-N,NDM-P,NDM-Q,NDM-R,NDM-S,N2F-J,N2F-L,N2F-M,N2F-N,N2M-P,N2M-Q,N2M-R,N2M-S,Blank1
[TG(44:3)]_FA16:1,0.0227095906804006,3.887888257528771,0.0115878980959288,0.9142756338002352,0.99997247095805,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Wakingup,TAG,1.3038491086820727e-05,1.3104545529157573e-05,1.2261717634982077e-05,1.4581679132455027e-05,1.798966907129521e-05,1.5772914583990336e-05,2.0436005167736843e-05,2.014462332586918e-05,1.5741954983608194e-05,1.669221392318776e-05,1.4052173386632953e-05,1.3440698379841088e-05,1.9800802809560963e-05,1.1384484530744943e-05,1.41986811659955e-05,1.427876145467882e-05,9.356281841606932e-06
[TG(44:3)]_FA18:0,-0.0057663429602418,3.7921972103839754,0.0007466207821991144,0.9782010257117087,0.99997247095805,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Wakingup,TAG,1.1906909232205408e-05,1.1957281705288617e-05,1.1159668078226342e-05,1.300222650393545e-05,1.545627972524623e-05,1.4253035151832128e-05,2.382752866544775e-05,1.7995640233087367e-05,1.5672269714929175e-05,1.6002635935703118e-05,1.3312058950774094e-05,1.3403363029862155e-05,1.9193367431325106e-05,1.0764958751090951e-05,1.3114530597931281e-05,1.2388879939879119e-05,8.059056627501186e-06
[TG(44:3)]_FA18:1,-0.0417379232021976,3.926541689705613,0.0391523552450925,0.8431471357628398,0.99997247095805,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Wakingup,TAG,1.3608746502107819e-05,1.358620209957219e-05,1.2921465100139863e-05,1.4212645697826237e-05,1.9452392007106747e-05,1.4840428270833726e-05,1.9854036954001786e-05,1.8866091557777387e-05,1.7288186563572494e-05,1.6791170917250424e-05,1.4122953614658755e-05,1.3308882051412475e-05,2.2294803069470024e-05,1.278388422800396e-05,1.550963811973793e-05,1.3803008689614695e-05,9.65162214826073e-06
[TG(44:3)]_FA18:2,0.0581287396000591,3.947441441621183,0.0759552065672528,0.7828555234877668,0.99997247095805,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Wakingup,TAG,1.3977589663535925e-05,1.4210239926145711e-05,1.3444585413037647e-05,1.8742208280902268e-05,1.749276009200792e-05,1.5192299069820756e-05,2.1526124270749012e-05,1.9660756293013426e-05,1.6566512028733313e-05,1.696348748957924e-05,1.470971102023221e-05,1.4641522463355126e-05,2.0458133076596847e-05,1.1533899650609341e-05,1.506208840538706e-05,1.3953097345808447e-05,8.85826021638042e-06
[TG(44:3)]_FA18:3,-0.0037634763165901,4.039331776539763,0.00031859804192890806,0.985759063423996,0.99997247095805,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Wakingup,TAG,1.4532218542955206e-05,1.4545283867443309e-05,1.4301632032345467e-05,1.5797223548458314e-05,1.8918361469705226e-05,1.7241961899113014e-05,2.1576081781052916e-05,2.3382673137770988e-05,1.7486176070976682e-05,1.8202479674788326e-05,1.5164909647062418e-05,1.6353357645742497e-05,2.304398557763523e-05,1.249320010730429e-05,1.605006009364039e-05,1.5851989289654138e-05,9.935603048070035e-06
[TG(44:4)]_FA14:0,-0.0111869595275722,3.75736963651272,0.0028090161331126,0.9577317864483108,0.99997247095805,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Wakingup,TAG,1.196445559045083e-05,1.2033450644020448e-05,1.1120995794397368e-05,1.297093414414959e-05,1.5474514961591437e-05,1.4331824693544116e-05,1.8999538644521675e-05,1.7388255600020225e-05,1.4413152663724485e-05,1.5809092509645585e-05,1.2321649354753441e-05,1.222539707178432e-05,1.9172577756140133e-05,1.0543301328018587e-05,1.3109845549044338e-05,1.2824214326297537e-05,9.076195472651326e-06
[TG(44:4)]_FA16:0,0.0753621518506225,3.820630703429893,0.1275316691826183,0.7210051432952913,0.99997247095805,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Wakingup,TAG,1.2730914950497222e-05,1.3644448949036935e-05,1.2408997060064525e-05,1.3868430203257776e-05,2.0818077936530045e-05,1.3443110539520345e-05,1.8724398764939752e-05,1.7354006002918838e-05,1.5146491095805139e-05,1.6206793592431184e-05,1.2294209076211359e-05,1.2230476671362292e-05,2.0112269214411207e-05,1.1107520081863791e-05,1.3097444264431263e-05,1.2241108265183812e-05,9.127961035603124e-06
[TG(44:4)]_FA16:1,-0.0943363049987014,4.049518541400236,0.2001595894455867,0.6545920608503082,0.99997247095805,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Wakingup,TAG,1.5484712050244924e-05,1.3109523911026004e-05,1.2804289878249076e-05,1.4558749307550207e-05,1.8352418927101786e-05,1.9588710251912923e-05,2.22784704598282e-05,2.0944389467117077e-05,1.573776768614102e-05,1.937997503177402e-05,1.3879582711446566e-05,1.3433586785413965e-05,1.953923122141424e-05,1.4108469301140901e-05,1.554270842229398e-05,2.643594339202314e-05,9.805458639526694e-06
[TG(44:4)]_FA18:0,0.1059804453967244,4.178370798175686,0.2528402473192948,0.615082234480628,0.99997247095805,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Wakingup,TAG,1.3667781354188976e-05,1.558874887089501e-05,1.5993262752431365e-05,1.6482687301032584e-05,3.1159386164467846e-05,2.2838292459087513e-05,2.9756821937274188e-05,1.8118793328019463e-05,1.7405125875494117e-05,1.7204792780400433e-05,1.5766797649742956e-05,1.7027424486919032e-05,2.261269514714663e-05,1.9163285684679393e-05,1.6094704749785638e-05,1.674067911699559e-05,8.709291927370917e-06
[TG(44:4)]_FA18:1,0.0488536033213441,3.913643543476572,0.0536385779279087,0.8168486774463978,0.99997247095805,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Wakingup,TAG,1.8157645877867874e-05,1.4029525395473153e-05,1.2182288610126327e-05,1.4218310660727413e-05,1.6930725552556074e-05,1.4635687875747395e-05,2.159584121741384e-05,1.8890503473596226e-05,1.587863336091139e-05,1.70836718137002e-05,1.4042428311839131e-05,1.4742607255513656e-05,1.9589882474615472e-05,1.1142247845270424e-05,1.4705206116572551e-05,1.4248640744302219e-05,8.509207034920769e-06
