lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,G4M-P,G4M-Q,G4M-R,G4M-S,G2M-P,G2M-Q,G2M-R,G2M-S,Blank1
[TG(38:0)]_FA16:0,0.0838605331221968,3.881450641349821,0.0657304825890605,0.7976577635695804,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.0685169511521732e-05,2.8980699224107133e-05,1.1035260382234735e-05,1.6857323095027337e-05,1.8242571887292265e-05,1.3255617302005552e-05,1.472864154959839e-05,1.1066534021659975e-05,1.0681742969266337e-05
[TG(38:0)]_FA18:0,0.1072210273256634,3.7667641884786,0.1073713895040668,0.7431568494695268,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,6.3605374366175e-06,3.808387501288948e-05,1.1101130359337145e-05,1.4215221428943493e-05,1.3133692192898619e-05,7.587404598155066e-06,2.0328747353098585e-05,1.3054507634072855e-05,1.1317211352848087e-05
[TG(38:1)]_FA14:0,-0.1038970363878273,3.4898761323112537,0.1006377924886372,0.7510655964858349,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.159507094513252e-06,1.8788136659253125e-05,1.1179265751470078e-05,1.3239467437932321e-05,1.2747974349704848e-05,8.49828914070247e-06,1.1967748319678615e-05,1.2219293083135824e-05,1.1667887165221652e-05
"[TG(38:1)]_FA16:0 | DG(40:8),DG(39:1)_C16:0",0.1672391175581121,4.576110890253294,0.2619536017051799,0.6087811699642012,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,6.895411297580543e-06,2.515067500141696e-05,1.2593198093366093e-05,1.6497285348657844e-05,1.604703798559945e-05,9.120439363709012e-06,1.3954839475516584e-05,1.3924901287642306e-05,9.293968388452163e-06
"[TG(38:1)]_FA16:0 | DG(40:8),DG(39:1)_C16:0",0.1672391175581121,4.576110890253294,0.2619536017051799,0.6087811699642012,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,DAG,1.393943861996382e-05,3.848123363517986e-05,2.8703170044892744e-05,3.380961239273225e-05,2.468923403500007e-05,1.733055986978721e-05,2.521546987528185e-05,2.526494782984098e-05,1.6807619008621288e-05
"[TG(38:1)]_FA16:1 | DG(40:8),DG(39:1)_C16:1",0.0547780649981743,4.35300410827201,0.0280962994222015,0.8668826232693284,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,DAG,1.0252860103427753e-05,3.589754708641884e-05,2.238351640224845e-05,2.71851823252236e-05,2.260259470141852e-05,1.3936730340447631e-05,2.2068794960943332e-05,2.2994142716062018e-05,1.713557653348088e-05
"[TG(38:1)]_FA16:1 | DG(40:8),DG(39:1)_C16:1",0.0547780649981743,4.35300410827201,0.0280962994222015,0.8668826232693284,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.49653406059184e-06,2.1777080436856613e-05,2.0744036328306465e-05,1.703890711085993e-05,1.459918465431594e-05,7.290045060215407e-06,1.2491150025650512e-05,1.3332912558445873e-05,9.155872392022528e-06
"[TG(38:1)]_FA18:0 | DG(40:8),DG(39:1)_C18:0",-0.0259640317804015,4.22041705163042,0.0063100837726892,0.9366858068203628,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.095506951669441e-06,1.6893044130232687e-05,1.1553134438477507e-05,1.235502731004603e-05,1.119052107710405e-05,6.7339277027461606e-06,1.1279427209553445e-05,1.1048594955794507e-05,7.791465243942308e-06
"[TG(38:1)]_FA18:0 | DG(40:8),DG(39:1)_C18:0",-0.0259640317804015,4.22041705163042,0.0063100837726892,0.9366858068203628,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,DAG,9.583831946406528e-06,3.028164372338696e-05,2.1615791100122333e-05,2.3450184480407354e-05,2.1526112647250103e-05,1.2946521777561297e-05,2.2440703092073784e-05,2.0937208601090082e-05,1.384464231136106e-05
"[TG(38:1)]_FA18:1 | DG(40:8),DG(39:1)_C18:1",0.0249927836441738,4.55002123560458,0.0058528362086889,0.9390182659474756,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,DAG,1.124168446699299e-05,4.198293066850874e-05,2.853077258905599e-05,2.843983515687513e-05,2.631583447237335e-05,1.4788227810614428e-05,2.2812835341278633e-05,3.260528331284911e-05,1.8255435421213696e-05
