lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,G4F-J,G4F-L,G4F-M,G4F-N,G2F-J,G2F-L,G2F-M,G2F-N,Blank1
CE(22:0),0.0060295279698194,6.0485914905811615,0.0016403630502601,0.9676933943817648,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,CE,0.00030740311875419857,0.0003061690419358315,0.0001585940511594573,0.0004670619894954983,0.0003171227085776658,0.00027079906124797865,0.00024041470605889708,0.00041038266630101267,0.00012802259094190648
CE(22:1),0.028072762210191,6.041502960393623,0.0355557612400652,0.8504358408119953,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,CE,0.000307521046829848,0.0003092890945729597,0.00015144351396404753,0.0004853972218395669,0.00031903156000439637,0.0002641808203134488,0.0002336584305543062,0.0004058226840735791,0.00012950274869997022
CE(22:2),-0.0202483724297547,6.026879270372089,0.018496293397918,0.8918204282375598,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,CE,0.00030231446230042015,0.00030332071002325676,0.00014909560291747888,0.00046000027718249523,0.0003204521635274656,0.0002671163209778588,0.0002336300832428987,0.0004107953557706516,0.00012791443465546878
CE(22:3),-0.0127995225961843,6.041510085437692,0.0073914909082595,0.9314872602817348,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,CE,0.00030236399244308766,0.0003101420575835848,0.0001502634305472416,0.0004686977103873524,0.00032052699638210656,0.00027117113671166923,0.00023879331076786747,0.00040723963702225883,0.00012970905036392257
CE(22:5),0.0730365994688164,6.084620448649026,0.2407106061375046,0.6236933480650555,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,CE,0.0003065434124614002,0.00032720487421499114,0.00016870472103652542,0.0004940748389073361,0.00032181387719851663,0.00026499794893658247,0.00023932645905677655,0.00041423338715643285,0.00013337990002341301
CE(22:6),0.049597415448922,6.079229160865135,0.1110086364603333,0.738998726742149,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,CE,0.00031011549373536425,0.0003116589609427666,0.00017651358472682614,0.0004719619537372975,0.0003184709274619629,0.00027276120380284797,0.0002416995675974932,0.0004157680295627798,0.0001292033124135825
CE(24:1),-0.0312657914062996,6.13316783154015,0.0441290135750431,0.8336137665196092,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,CE,0.0003241608899015108,0.0003123737001938087,0.00016609184552453775,0.0004972670195786994,0.0003398253278737122,0.000307308855480098,0.0002522006925156511,0.00042713816799858404,0.00013576587747264114
CE(46:3;O2),0.0305343310889993,6.029491145230828,0.042061578882441,0.8375024362901315,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,CE,0.0003022838003979321,0.00030146947354315484,0.00016250840491790976,0.00045848344898996075,0.00031450232461280975,0.0002624622755743619,0.00023362276783020337,0.00040066328394800215,0.0001276690765122999
CE(48:3;O2),-0.0011700110976302,6.015096826046491,6.17522546928484e-05,0.9937300799748864,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,CE,0.00030225667803370485,0.0003014375750591519,0.00014915221421652968,0.00045858432876844015,0.0003144115433738232,0.0002624530254189657,0.0002335843594715931,0.00040062405432830887,0.0001276335244576735
CE(50:3;O2),0.0078191683249943,6.023956890209052,0.002758167666367,0.9581157457859584,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,CE,0.0003022684687718905,0.0003030348138721754,0.0001543563715095219,0.0004585609151324739,0.00031447042971602217,0.00026622621407083955,0.000233599905159635,0.00040080607786017797,0.00012766957744454787
